"Id_Accedeweb","Cd_Accedeweb","Description","Label","Rank","Dtype","Cd_Rgaa3","Id_Test_Id"
"618","Rgaa32017-1-8-1-Accedeweb-HTML-10-1",NULL,NULL,"80","H","Rgaa32017-1-8-1","56"
"619","Rgaa32017-1-8-2-Accedeweb-HTML-10-1",NULL,NULL,"81","H","Rgaa32017-1-8-2","57"
"620","Rgaa32017-1-8-3-Accedeweb-HTML-10-1",NULL,NULL,"82","H","Rgaa32017-1-8-3","58"
"621","Rgaa32017-1-8-4-Accedeweb-HTML-10-1",NULL,NULL,"83","H","Rgaa32017-1-8-4","59"
"622","Rgaa32017-1-8-5-Accedeweb-HTML-10-1",NULL,NULL,"84","H","Rgaa32017-1-8-5","60"
"623","Rgaa32017-1-9-1-Accedeweb-HTML-10-1",NULL,NULL,"85","H","Rgaa32017-1-9-1","61"
"624","Rgaa32017-1-9-2-Accedeweb-HTML-10-1",NULL,NULL,"86","H","Rgaa32017-1-9-2","62"
"625","Rgaa32017-1-9-3-Accedeweb-HTML-10-1",NULL,NULL,"87","H","Rgaa32017-1-9-3","63"
"626","Rgaa32017-1-9-4-Accedeweb-HTML-10-1",NULL,NULL,"88","H","Rgaa32017-1-9-4","64"
"627","Rgaa32017-1-9-5-Accedeweb-HTML-10-1",NULL,NULL,"89","H","Rgaa32017-1-9-5","65"
"628","Rgaa32017-1-10-1-Accedeweb-HTML-6-4",NULL,NULL,"90","H","Rgaa32017-1-10-1","66"
"629","Rgaa32017-2-1-1-Accedeweb-HTML-13",NULL,NULL,"91","H","Rgaa32017-2-1-1","71"
"630","Rgaa32017-2-2-1-Accedeweb-HTML-13",NULL,NULL,"92","H","Rgaa32017-2-2-1","72"
"631","Rgaa32017-3-1-1-Accedeweb-GRAPH-3-2",NULL,NULL,"93","G","Rgaa32017-3-1-1","73"
"632","Rgaa32017-3-1-1-Accedeweb-HTML-10-3",NULL,NULL,"94","H","Rgaa32017-3-1-1","73"
"633","Rgaa32017-3-1-1-Accedeweb-EDIT-7-2",NULL,NULL,"95","E","Rgaa32017-3-1-1","73"
"634","Rgaa32017-3-1-2-Accedeweb-GRAPH-3-2",NULL,NULL,"96","G","Rgaa32017-3-1-2","74"
"635","Rgaa32017-3-1-2-Accedeweb-EDIT-6-5",NULL,NULL,"97","E","Rgaa32017-3-1-2","74"
